Author tag,Author username,Author avatar,Is bot,Date,Content,Mentions,Attachments,Channel,Symptom1(Edginess_or_restlessness),Symptom2(Tiring_easily_more_fatigued_than_usual),Symptom3(Impaired_concentration_or_feeling_as_though_the_mind_goes_blank),Symptom4(irritability),Symptom5(Increased_muscleaches_or_soreness),Symptom6(Difficulty_sleeping),Symptom7(No_symptoms),AnxietyIntensity
#8412,stefflynn,https://cdn.discordapp.com/avatars/754529290812653648/51a963cbbefd28031bc6d24e9abdf16c.png,No,4/15/2022 20:09,Do you guys ever struggle talking about serious stuff even with people closest to you? It’s like the same anxiety I get about fear of being ridiculed and judged but I know deep down inside it’ll be fine since I know this person a lot.,Cade#9487,,R/SocialAnxiety,Y,N,Y,N,N,N,N,1
#9087,TilteD24,https://cdn.discordapp.com/avatars/540102989457653763/5159df070103719e94bdfed7c27bd6a2.png,No,2/20/2022 19:30,"Just looked it up, it could be helpful since its scientifically proven",colorfull#1904,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#0425,watdo,https://discord.com/assets/6debd47ed13483642cf09e832ed0bc1b.png,No,8/1/2021 20:16,imposter syndrome sux azz,Daniela.#7148,,R/SocialAnxiety,N,N,N,Y,N,N,N,1
#5250,xFrostyx007,https://cdn.discordapp.com/avatars/833248220880306177/8613c067a6d4826b878cf3f6f191e9cb.png,No,7/3/2021 23:09,Hello everyone,wanda#3703,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#0806,whatoncewas,https://cdn.discordapp.com/avatars/959156168306077716/b3ae82bb832a95010d54096a0733d22b.png,No,4/11/2022 8:28,Does anyone have experience with journaling? Has this helped you with anxiety and overthinking?,nabihaha_#6572,https://cdn.discordapp.com/attachments/369547956472250378/965075665223286844/F4D34085-D297-428F-B1B6-64DFEFAAB967.jpg,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#3703,wanda,https://cdn.discordapp.com/avatars/808740731517665280/9140f441f382dcfc158053583c656d8f.png,No,1/1/2022 6:14,voice chat makes me anxious too,Silent#0045,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#9487,Cade,https://cdn.discordapp.com/avatars/692425253879545857/25cf1f519409136c2478f6d46e6e4fc7.png,No,4/15/2022 10:32,I try staring at their nose in between their eyes.,Chloekins25#0579,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#1354,Claire,https://cdn.discordapp.com/avatars/321008517609947137/abcb78c5959c004ceb821a51ade59594.png,No,1/25/2022 15:17,"It took me a month and a half to really feel different with the lowest dose of ssri I could get
 Maybe your doctor can try to switch it for another ssri to see if it suits you better",chase#7261,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#5337,potatophoenix,https://cdn.discordapp.com/avatars/151074226093293568/016020f12eb84e1b5958568de2889d4b.png,No,5/8/2021 19:53,Story of my fuckin life,Narsuaq 👽#3190,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#8104,fibilolo,https://cdn.discordapp.com/avatars/721072166413533215/51d541e289e8e133ded206de5758714d.png,No,4/15/2022 3:27,I have to present my research paper on Wednesday and I'm shitting my pants,Flacko78#4015,,R/SocialAnxiety,N,N,N,Y,N,N,N,1
#5208,Remlly,https://cdn.discordapp.com/avatars/153291834834157568/dbea58ecbee1f76e0928c5871064673d.png,No,1/28/2022 10:59,"for some people the usual small talk doesnt work, you could try asking more serious questions or get her opinion on things",Foster#0820,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#9346,Mr. Think,https://cdn.discordapp.com/avatars/448924828464971792/b4a8719375dad31745dfbec2a917712a.png,No,3/25/2022 3:57,same 😔,Jux#6830,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#1024,meggie the veggie,https://cdn.discordapp.com/avatars/332689141336637441/a_d5bd4753b223d24a6376dd6a0de146aa.gif,No,6/19/2021 12:04,i think its very normal to talk to yourself :0 everyone in my family does it at least,,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#8331,pewdiepie,https://cdn.discordapp.com/avatars/500592472955813888/e1b59f2badc677d586a8bfe9279d7bb3.png,No,4/16/2022 2:13,Have any of you guys confused your SA symptoms with autism? I spent most of my life thinking that I'm autistic but I've realized that the majority of my problems have just been from social anxiety,,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#9441,Chris513,https://cdn.discordapp.com/avatars/863312186712522752/50b5a4d569f61c1e425027ef73fd0146.png,No,4/14/2022 22:35,Can social anxiety be cured?,potatophoenix#5337,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#1737,dnir50,https://cdn.discordapp.com/avatars/919446605772496946/5a19aa6d71b0eff7132a55939f0face3.png,No,4/1/2022 8:08,"Can you provide more context? I can't say that's how I felt because saying ""everyone"" is a generalization.",rain#3941,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#4914,2tired,https://cdn.discordapp.com/avatars/767550722149318717/a58dc87c367b70442c6d07a7fe03f148.png,No,9/24/2021 23:25,Hi,,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#9944,nerdygirl,https://cdn.discordapp.com/avatars/877723139763752960/551fc9b08a68bb9d2ee5d27274538ec2.png,No,11/7/2021 21:55,why do i feel so nervous when i have to do a presentation? its so scary!!!!????,2tired#4914,,R/SocialAnxiety,Y,N,N,Y,N,N,N,1
#0875,▬▬ι═══════ﺤ,https://cdn.discordapp.com/avatars/669366120179957761/a_b16754410fe896c3f30fe2fb1d052f40.gif,No,2/1/2022 6:24,i feel like i forgot what it feels like to have friends,,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#5757,kennairene,https://cdn.discordapp.com/avatars/853369611181228043/84c669d8c08c2eb0658682f355e51439.png,No,4/15/2022 16:41,Heyy,,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#6830,Jux,https://cdn.discordapp.com/avatars/891037504340373604/71e61feddc709f34ece0b23dd7524ffd.png,No,3/23/2022 20:01,Hardest part about college be talking to people fr,ColdAsIce#6726,,R/SocialAnxiety,Y,N,N,Y,N,N,N,1
#4203,Kwaz,https://cdn.discordapp.com/avatars/351805725762125834/d7251797ba8c628a9cb622f8c4cf63b8.png,No,4/15/2022 13:23,I’m here,Aboww#1178,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#6687,Nick.,https://cdn.discordapp.com/avatars/436669494207971339/8067f40355366f77b5039ead88c9d649.png,No,11/16/2021 20:47,This shit is ruining my life so far and i'm only 17...fuck's sake <:ytho:468968321946091530>,DeejC#3638,,R/SocialAnxiety,Y,N,N,Y,N,N,N,1
#7940,ctm.hp,https://cdn.discordapp.com/avatars/790927367890927636/41720da67b380fcaf91c8e07519c83fe.png,No,7/31/2021 18:27,"hey, like 40 minutes ago I had an anxiety attack and while my mother was hugging me I felt she lifted my pants a bit because I'm sure she saw some small cuts on my leg and I'm terrified that she found out that I hurt myself. Now I dont know what to do 😦",pawprint#1246,https://cdn.discordapp.com/attachments/369547956472250378/886608879805411328/instagram_1631448073287.mp4,R/SocialAnxiety,Y,N,Y,N,N,N,N,2
#0065,Kacper The Ghost,https://discord.com/assets/6debd47ed13483642cf09e832ed0bc1b.png,No,12/12/2021 11:07,"I've started out this week by telling 13 strangers I've have SA, following by spending all my waken time around people",beepity-boppity#0347,,R/SocialAnxiety,Y,N,N,N,N,N,N,1
#9478,Boom,https://cdn.discordapp.com/avatars/213755310098219008/79b614954347547b3871af5a408df33e.png,No,4/2/2022 17:28,Me too. It stops me from progressing in life.,nabihaha_#6572,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#8618,Rjun0o,https://cdn.discordapp.com/avatars/841007577138593863/5af6a24059f4d44fda1de38a0b433c8d.png,No,4/15/2022 13:39,It makes me stammer,,,R/SocialAnxiety,Y,N,N,N,N,N,N,1
#5359,Nou,https://cdn.discordapp.com/avatars/472472566515367956/b103edce1246978147678f1eafb4ff3f.png,No,8/30/2021 14:03,"Just felt like I was living like a person that I wasnt when it was keeping me from so many things that I actually wanted to do but didnt know I wanted. It was def a journey to figure out that I am extroverted, but finding that out was a strong motivator to work on myself.",SkySmashify#9999,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#1811,WalC,https://cdn.discordapp.com/avatars/629136108185321493/361c051835c69206e50ef039c61cbf9f.png,No,4/13/2022 10:35,I'm so tired.,swill.#5537,,R/SocialAnxiety,N,Y,N,N,N,Y,N,1
#1658,cheriipie,https://cdn.discordapp.com/avatars/573441333361115146/1f60f8bf10bf13a262f36a8aecc70346.png,No,4/15/2022 4:56,I have to present my research defense on monday 😭😭 im nervous too,,,R/SocialAnxiety,Y,N,Y,N,N,N,N,1
#4015,Flacko78,https://cdn.discordapp.com/avatars/745734910093819994/19cb1aba79156cfae75034ffab679f87.png,No,12/9/2021 1:41,Same use to be the comfortable just talking and playing with other but during this pandemic it just gave me anxiety and don't even know who I am.,GlizzyGobbler#4427,,R/SocialAnxiety,Y,N,Y,N,N,N,N,1
#4361,WayneKing,https://cdn.discordapp.com/avatars/640689148109389845/2f436ac0856d513496c1e5047590fe97.png,No,4/15/2022 2:36,"Yep, I know exactly how you feel",Chloekins25#0579,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#5620,PuriPuriPurple,https://cdn.discordapp.com/avatars/501772342742089739/b368f2fda9227624cb1c2336a2034e6d.png,No,1/6/2022 8:20,Yes,turtle_fan_69#2715,https://cdn.discordapp.com/attachments/369547956472250378/954083624385388614/Screenshot_20220317-192700_Y.jpg,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#0579,Chloekins25,https://cdn.discordapp.com/avatars/804530014413783092/eb307512121fb9f8db933686e1fd118a.png,No,4/15/2022 0:24,"Does anyone have trouble with eye contact within a conversation? This is one of the bigger things that I feel like I need to work on, but I don’t know how. I can’t look at someone and also form thoughts about what I’m going to say. My mind immediately goes to how they are perceiving what I’m saying, so looking away is easier. It actually really stinks because I know eye contact is important. Does anyone else have this problem?",,,R/SocialAnxiety,Y,N,Y,N,N,N,N,2
#8827,Haseltan,https://discord.com/assets/6debd47ed13483642cf09e832ed0bc1b.png,No,2/19/2022 12:00,You can try to be what you want to be. Otherwise if you set some goal that you don't want it will be acting and role playing. I think you should think about what you want. İmagine what you want and try to do that. Thats what i think.,Deli#2334,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#6472,nxtboyIII,https://cdn.discordapp.com/avatars/125471292022456320/ca1b4c1f863bc0ef98012da37f0f2b32.png,No,12/11/2021 15:33,why do you want to start talking?,Lbannana#3577,https://cdn.discordapp.com/attachments/369547956472250378/935578846500110357/top-symptoms-of-panic-attacks-2584270_FINAL-5bcdfd4d46e0fb0051228ee5.png,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#6192,77Tigers,https://cdn.discordapp.com/avatars/336991619196649474/a679d365b0baa085e15def7fa7670bdd.png,No,9/11/2021 10:27,maybe make another account?,nochi#0081,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#3745,Pegon,https://cdn.discordapp.com/avatars/303982561351434242/88c953666cc0797a655627d3bc2b79ba.png,No,4/20/2021 14:27,"been quietly reading along but it sounds like you got really unlucky with having this intense GAD on top of SA but still you seem to have come a long way, I just wanna wish you all the best man stay strong <:pandalove:665412711500480523>",bowsamic#2386,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#4623,excessu,https://cdn.discordapp.com/avatars/115566241195884549/5107f606249bf2b36c01aacbb8e846c6.png,No,4/12/2022 8:29,sup,Nikhil_YT#2463,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#5537,swill.,https://cdn.discordapp.com/avatars/345910808418451456/78da1e2925264d292096e053274f35dd.png,No,1/25/2022 17:13,use a camera stand,Narsuaq 👽#3190,https://cdn.discordapp.com/attachments/369547956472250378/941065840265134100/unknown.png,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#2695,Electric⚡,https://cdn.discordapp.com/avatars/489058510211121172/c01432ab91866ce9e8c1387806622d95.png,No,9/10/2021 8:01,Any counsellors/psychologists on this server,TheOceanCookie#4129,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#4275,carl0telli,https://cdn.discordapp.com/avatars/465198549768994836/e48dfafe9cd1e351397011b750c34b62.png,No,8/23/2021 2:29,"I relate to that, I don't know what to do about it either",REINA#6150,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#8298,Bombin Da Conz,https://cdn.discordapp.com/avatars/928287628678266930/aea00115d43c6aced0dc4360e92cca21.png,No,4/14/2022 1:23,How do I make friends irl most of the people I used to hang out with don't want to hang out with me anymore or they moved away. no ones into the hobbies I'm into I do scambaiting and there are very few people that do it so its very hard. also because there is a pandemic not a lot of people are out side. I'm in middle school btw.,,,R/SocialAnxiety,Y,N,N,N,N,N,N,1
#9068,trollkin,https://cdn.discordapp.com/avatars/90224900924518400/3093558ffde0d16ce06f8bdd656f8214.png,No,7/18/2021 1:57,I just want to scan my brain onto a spreadsheet and give it to people to avoid the entire socialization process,smthsmthsmth#9064,,R/SocialAnxiety,N,N,N,Y,N,N,N,1
#1914,Trey,https://cdn.discordapp.com/avatars/532073380027957248/51eb2c68f3ef25443a813bdf2a7ab8cb.png,No,2/5/2022 12:42,"I first started going late at night, like 9 or 10, so there wouldnt be too many other people. Then I slowly just started going earlier and earlier as I got more comfortable",sarahh#9913,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#9210,FintyMinty,https://cdn.discordapp.com/avatars/709593917682745355/dbae091a2c85faa7abc01bf56743a689.png,No,4/13/2022 15:21,I’m surprised he hasn’t done that yet but it’ll be nice since he also suffers from anxiety and panic attacks,geoni#4110,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#9681,ava,https://cdn.discordapp.com/avatars/325001063537049600/b106216a7915ca981f15a98228f59767.png,No,3/2/2022 0:57,i had a panic attack like two weeks ago and i’m still so anxious everyday and i can’t sleep :((,,,R/SocialAnxiety,Y,N,Y,N,N,Y,N,2
#1303,okay nice,https://cdn.discordapp.com/avatars/713838230704881706/afd4440444a834bc7435cc3c9c7a4f5e.png,No,2/2/2022 11:19,Hi,Creativeforever#9584,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#4697,Setaketu,https://cdn.discordapp.com/avatars/211749650896650242/2761e07da2013fa459b6cd432c0229fc.png,No,1/22/2022 1:10,Hello!,late#2302,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#8482,Domiqueen23,https://cdn.discordapp.com/avatars/751968594514149457/5c55f322d635dbc14b3ac0811b6a7190.png,No,8/25/2021 11:11,Yeah :p,SkySmashify#9999,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#8030,Fabius Varro,https://cdn.discordapp.com/avatars/858581824460030003/2d401a7db541730151bd9d3451cb5acb.png,No,4/13/2022 5:56,"I have done that too. I went through a channel and then when I discovered these guys are also depressed at the end, it somehow affected me lol.",whatoncewas#0806,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#9252,_jules,https://cdn.discordapp.com/avatars/729477126742605884/f57f3925a4eeb1ff68b892ca280a0dc5.png,No,4/12/2022 21:17,Yeah,Boom#9478,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#0621,D35t1ny,https://cdn.discordapp.com/avatars/817700255105548298/1438e407558ee60c5ed6e41d483dc3c3.png,No,9/18/2021 7:27,I gotta go to cvs and it's making me so anxious agh,geoni#4110,https://cdn.discordapp.com/attachments/369547956472250378/888793281117446184/Snapchat-2147343224.jpg,R/SocialAnxiety,Y,N,N,Y,N,N,N,1
#7804,Firebat,https://cdn.discordapp.com/avatars/174354222324645888/5a08f7759d45796ca250eed04ab33016.png,No,6/3/2021 11:10,How do people see someone in public and go up and talk to them or even flirt with them?,Kame#9130,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#9883,Beeee,https://cdn.discordapp.com/avatars/178763199347294208/d6ff3262127e9f1899356d3b4260e209.png,No,2/13/2022 16:13,"Has anyone tried group therapy for SA, if so please tell me how it went! (@ me)",,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#6710,Akko,https://cdn.discordapp.com/avatars/784659999112167434/06c532297766957b667867fab7134f76.png,No,4/12/2022 1:45,I have no idea why i just get anxiety while doing normal things :[,,,R/SocialAnxiety,Y,N,N,Y,N,N,N,1
#4924,jasminee,https://cdn.discordapp.com/avatars/425444311698505738/947fd67aa0bcfd5137f0bdd3524ccc86.png,No,4/11/2022 21:57,my friends have no idea how much i cried over my perception of my importance to them ❤️,,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#2329,Blakee,https://cdn.discordapp.com/avatars/957360391753695292/544d16eaf4b84c71df0ffea5cf83c6e0.png,No,3/27/2022 6:49,How do you fix a fat jaw?,TilteD24#9087,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#6689,JaeDaWeirdo,https://cdn.discordapp.com/avatars/912376279079223377/fd188989d898d7802241ea70cebdc15d.png,No,4/11/2022 11:10,Yes it's normal actually but we'll be here for you and I'm sure you'll do great!!,geoni#4110,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#6765,Sergeant Spa,https://cdn.discordapp.com/avatars/637983240195670016/750229b99ae5ca00311f02e44bc72353.png,No,4/11/2022 10:13,Dm me,mushroom_boy#4131,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#4131,mushroom_boy,https://cdn.discordapp.com/avatars/950404898573418546/c78515b79b4c3151515c6c4d51e8046d.png,No,4/11/2022 9:58,"does anybody else have sa so restricting that they can't eat lunch at school or talk to anybody and can only ever stare at the ground so much so people think your either depressed, abused, on drugs, or just simply on your phone? the only person I can talk to is my partner, but if anybody else we're to come up to me I'd freeze, starts sweating, and my heart would about beat out of my chest, and have a panic attack every time I was about to have to go up in front of the class to present or do something. it's like I've forgotten how to socially interact with people and now it's just physically impossible, I can't even look at people in the eye for at least 30 seconds unless it's my partner. walking and standing has never been this hard either, and everything just keeps getting worse for me, I had a panic attack in school in front of everyone not to long ago (and ik that there's more to come), and by the week I'm unable to do more and more stuff, it's like I'm not even a person anymore and Ive had to isolate myself from almost all of my friends (sorry if that sounded more like a vent), I was just hoping there were others that have it this badly.",,,R/SocialAnxiety,Y,N,Y,N,Y,N,N,4
#3002,Fate,https://cdn.discordapp.com/avatars/237997240344379393/a70e28471f102cc3086d7b44924c0349.png,No,4/11/2022 10:15,Hello,,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#9825,Ariesgirl94,https://cdn.discordapp.com/avatars/417665974745956362/773ca6960b8a779f50d1b39cca7d7de5.png,No,6/18/2021 15:54,hello,TilteD24#9087,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
